Time, LOAD, AID, D0,D1,D2,D3,D4,D5,D6,D7
29972, 28 % , 200, 167, 55, 39, 55, 39, 55, 128, 0
30152, 32 % , 231, 1, 75, 1, 0, 0, 0, 128, 0
30339, 31 % , 231, 1, 75, 1, 0, 0, 0, 128, 0
30488, 31 % , 201, 2, 222, 63, 196, 0, 0, 0, 0
30618, 30 % , 231, 1, 75, 1, 0, 0, 0, 128, 0
30748, 30 % , 228, 0, 2, 0, 0, 0, 0, 0, 0
30849, 30 % , 420, 120, 0, 48, 0, 0, 0, 0, 0
30949, 30 % , 420, 120, 0, 49, 0, 0, 0, 0, 0
31031, 29 % , 201, 2, 210, 64, 0, 0, 0, 0, 0
31131, 29 % , 201, 2, 212, 64, 20, 0, 0, 0, 0
31278, 29 % , 231, 1, 75, 1, 0, 0, 0, 128, 0
31408, 29 % , 231, 1, 75, 1, 0, 0, 0, 128, 0
31558, 28 % , 231, 1, 75, 1, 0, 0, 0, 128, 0
31708, 28 % , 231, 1, 75, 1, 0, 0, 0, 128, 0
31779, 28 % , 430, 187, 18, 1, 0, 0, 0, 128, 0
31841, 28 % , 228, 0, 2, 0, 0, 0, 0, 128, 0
31931, 28 % , 201, 2, 209, 63, 216, 0, 0, 0, 0
32160, 28 % , 201, 2, 203, 63, 216, 0, 0, 0, 0
32348, 34 % , 231, 1, 75, 1, 0, 0, 0, 128, 0
32441, 32 % , 420, 121, 0, 50, 0, 0, 0, 0, 0
32530, 32 % , 201, 2, 180, 63, 196, 0, 0, 0, 0
32677, 32 % , 433, 0, 6, 8, 0, 0, 156, 80, 0
32766, 32 % , 231, 1, 75, 1, 0, 0, 0, 128, 0
32839, 33 % , 200, 167, 43, 39, 43, 39, 43, 128, 0
33030, 34 % , 201, 2, 145, 63, 136, 0, 0, 1, 0
33111, 35 % , 231, 1, 75, 1, 0, 0, 0, 128, 0
33190, 38 % , 228, 0, 2, 0, 0, 0, 0, 128, 0
33272, 38 % , 200, 167, 48, 39, 48, 39, 48, 128, 0
33356, 40 % , 201, 2, 104, 63, 156, 0, 0, 1, 0
33510, 41 % , 201, 2, 94, 63, 216, 0, 24, 1, 0
33605, 41 % , 200, 167, 68, 39, 68, 39, 68, 128, 0
33720, 41 % , 201, 2, 106, 65, 24, 0, 24, 0, 0
33946, 43 % , 231, 1, 75, 1, 0, 0, 0, 128, 0
34296, 34 % , 231, 1, 75, 1, 0, 0, 0, 128, 0
34530, 32 % , 231, 1, 75, 1, 0, 0, 0, 128, 0
34639, 32 % , 231, 1, 75, 1, 0, 0, 0, 128, 0
34886, 31 % , 430, 186, 17, 4, 81, 0, 0, 0, 0
35104, 30 % , 200, 167, 50, 39, 50, 39, 50, 128, 0
35346, 30 % , 4F0, 20, 36, 18, 255, 255, 80, 0, 0
35504, 30 % , 200, 167, 52, 39, 52, 39, 52, 128, 0
35568, 34 % , 231, 1, 75, 1, 0, 0, 0, 128, 0
35805, 34 % , 231, 1, 75, 1, 0, 0, 0, 128, 0
35867, 33 % , 200, 167, 48, 39, 48, 39, 48, 128, 0
35963, 34 % , 200, 167, 52, 39, 52, 39, 52, 128, 0
36037, 34 % , 200, 167, 55, 39, 55, 39, 55, 128, 0
36245, 35 % , 420, 122, 5, 56, 0, 0, 0, 0, 0
36343, 36 % , 200, 167, 39, 39, 39, 39, 39, 128, 0
36427, 39 % , 231, 1, 75, 1, 0, 0, 0, 128, 0
36944, 50 % , 4EA, 0, 65, 4, 126, 0, 0, 0, 0
37044, 51 % , 201, 2, 151, 65, 84, 0, 206, 3, 0
37187, 51 % , 228, 0, 2, 0, 0, 0, 0, 0, 0
37338, 50 % , 4EA, 0, 65, 4, 128, 0, 0, 0, 0
37679, 43 % , 430, 186, 17, 4, 108, 0, 0, 0, 0
37773, 40 % , 231, 1, 75, 1, 0, 0, 0, 128, 0
37882, 37 % , 200, 167, 83, 39, 83, 39, 83, 128, 0
38244, 31 % , 4EA, 0, 65, 4, 80, 0, 0, 0, 0
38305, 31 % , 201, 4, 85, 63, 136, 0, 189, 3, 0
38632, 31 % , 200, 167, 68, 39, 68, 39, 68, 128, 0
38742, 32 % , 201, 3, 243, 63, 76, 0, 185, 3, 0
39331, 30 % , 200, 167, 65, 39, 65, 39, 65, 128, 0
40281, 46 % , 200, 167, 132, 39, 132, 39, 132, 128, 0
40811, 40 % , 231, 1, 75, 1, 0, 0, 0, 128, 0
40901, 40 % , 231, 1, 75, 1, 0, 0, 0, 128, 0
40990, 39 % , 201, 4, 96, 64, 180, 0, 0, 5, 0
41078, 37 % , 430, 186, 18, 64, 180, 0, 0, 5, 0
41224, 33 % , 201, 4, 97, 64, 80, 0, 0, 0, 0
41484, 26 % , 201, 4, 162, 64, 160, 0, 0, 0, 0
41923, 23 % , 201, 3, 196, 60, 124, 0, 0, 0, 0
42034, 23 % , 201, 3, 169, 63, 156, 0, 0, 0, 0
42143, 26 % , 201, 3, 144, 63, 16, 0, 0, 0, 0
42249, 28 % , 200, 167, 48, 39, 48, 39, 48, 128, 0
42334, 34 % , 420, 122, 13, 69, 0, 0, 0, 0, 0
42407, 34 % , 228, 0, 2, 0, 0, 0, 0, 0, 0
42478, 35 % , 430, 186, 17, 0, 0, 0, 0, 0, 0
42583, 37 % , 200, 167, 40, 39, 40, 39, 40, 128, 0
42678, 40 % , 430, 186, 17, 39, 40, 39, 40, 128, 0
42933, 70 % , 200, 167, 186, 39, 186, 39, 186, 128, 0
43112, 88 % , 200, 167, 208, 39, 208, 39, 208, 128, 0
43307, 80 % , 228, 0, 2, 0, 0, 0, 0, 0, 0
43431, 71 % , 201, 5, 7, 69, 160, 0, 0, 14, 0
43632, 65 % , 201, 5, 147, 65, 84, 0, 0, 17, 0
43907, 65 % , 228, 0, 2, 0, 0, 0, 0, 0, 0
43971, 62 % , 200, 167, 142, 39, 142, 39, 142, 128, 0
44085, 57 % , 430, 186, 17, 4, 149, 0, 0, 0, 0
44172, 51 % , 200, 167, 120, 39, 120, 39, 120, 128, 0
44284, 43 % , 430, 187, 16, 4, 114, 0, 0, 0, 0
44392, 37 % , 201, 7, 30, 60, 104, 0, 0, 6, 0
44512, 33 % , 201, 6, 192, 60, 4, 0, 0, 6, 0
44811, 33 % , 201, 5, 83, 59, 140, 0, 0, 6, 0
44921, 34 % , 200, 167, 69, 39, 69, 39, 69, 128, 0
45188, 43 % , 201, 3, 106, 58, 56, 0, 191, 6, 0
45462, 52 % , 228, 0, 2, 0, 0, 0, 0, 0, 0
45585, 54 % , 430, 187, 19, 4, 140, 0, 0, 0, 0
45675, 54 % , 433, 0, 6, 8, 0, 0, 156, 80, 0
45831, 50 % , 201, 3, 205, 65, 204, 2, 124, 6, 0
46090, 43 % , 201, 4, 158, 66, 228, 2, 210, 0, 0
46171, 36 % , 201, 4, 232, 67, 252, 2, 234, 0, 0
46330, 27 % , 228, 0, 6, 0, 0, 0, 0, 0, 0
46490, 21 % , 201, 6, 8, 65, 44, 3, 23, 0, 0
46560, 20 % , 201, 6, 26, 65, 104, 3, 27, 0, 0
46709, 18 % , 200, 167, 0, 39, 0, 39, 0, 128, 0
