Time, state, AID, D0,D1,D2,D3,D4,D5,D6,D7
Time, state, AID, D0,D1,D2,D3,D4,D5,D6,D7
28568 ms, -1, 200, 167, 42, 39, 42, 39, 42, 128, 0
28630 ms, -1, 200, 167, 42, 39, 42, 39, 42, 128, 0
28690 ms, -1, 200, 167, 41, 39, 41, 39, 41, 128, 0
28758 ms, -1, 200, 167, 43, 39, 43, 39, 43, 128, 0
28844 ms, -1, 433, 128, 6, 8, 1, 0, 172, 80, 0
28904 ms, -1, 200, 167, 42, 39, 42, 39, 42, 128, 0
28965 ms, -1, 200, 167, 44, 39, 44, 39, 44, 128, 0
29026 ms, -1, 231, 1, 75, 1, 0, 0, 0, 128, 0
29087 ms, -1, 4F1, 65, 1, 154, 255, 255, 100, 94, 94
29148 ms, -1, 200, 167, 43, 39, 43, 39, 43, 128, 0
30210 ms, 1, 228, 0, 4, 0, 0, 39, 43, 128, 0
30270 ms, 1, 200, 167, 48, 39, 48, 39, 48, 128, 0
30330 ms, 1, 200, 167, 49, 39, 49, 39, 49, 128, 0
30398 ms, 1, 200, 167, 49, 39, 49, 39, 49, 128, 0
30458 ms, 1, 228, 0, 4, 0, 0, 39, 49, 128, 0
30524 ms, 1, 200, 167, 46, 39, 46, 39, 46, 128, 0
30584 ms, 1, 201, 2, 235, 63, 236, 0, 0, 0, 0
30645 ms, 1, 240, 103, 0, 63, 236, 0, 0, 0, 0
30706 ms, 1, 240, 110, 0, 63, 236, 0, 0, 0, 0
30767 ms, 1, 240, 107, 0, 63, 236, 0, 0, 0, 0
30827 ms, 1, 200, 167, 46, 39, 46, 39, 46, 128, 0
30888 ms, 1, 200, 167, 44, 39, 44, 39, 44, 128, 0
30949 ms, 1, 200, 167, 46, 39, 46, 39, 46, 128, 0
31016 ms, 1, 430, 187, 16, 39, 46, 39, 46, 128, 0
31083 ms, 1, 200, 167, 45, 39, 45, 39, 45, 128, 0
31144 ms, 1, 201, 2, 225, 63, 236, 0, 0, 0, 0
31205 ms, 1, 240, 106, 0, 63, 236, 0, 0, 0, 0
31265 ms, 1, 240, 103, 0, 63, 236, 0, 0, 0, 0
31326 ms, 1, 240, 105, 0, 63, 236, 0, 0, 0, 0
31387 ms, 1, 200, 167, 49, 39, 49, 39, 49, 128, 0
31461 ms, 1, 200, 167, 50, 39, 50, 39, 50, 128, 0
31522 ms, 1, 200, 167, 52, 39, 52, 39, 52, 128, 0
31584 ms, 1, 201, 2, 212, 63, 236, 0, 0, 0, 0
31644 ms, 1, 240, 113, 0, 63, 236, 0, 0, 0, 0
31712 ms, 1, 240, 109, 0, 63, 236, 0, 0, 0, 0
31772 ms, 1, 200, 167, 55, 39, 55, 39, 55, 128, 0
31834 ms, 1, 200, 167, 57, 39, 57, 39, 57, 128, 0
31894 ms, 1, 240, 114, 0, 39, 57, 39, 57, 128, 0
31954 ms, 1, 240, 116, 0, 39, 57, 39, 57, 128, 0
32016 ms, 1, 240, 114, 0, 39, 57, 39, 57, 128, 0
32082 ms, 1, 200, 167, 57, 39, 57, 39, 57, 128, 0
32143 ms, 1, 201, 2, 213, 64, 40, 0, 0, 0, 0
32204 ms, 1, 240, 115, 0, 64, 40, 0, 0, 0, 0
32265 ms, 1, 240, 122, 0, 64, 40, 0, 0, 0, 0
32349 ms, 1, 240, 126, 0, 64, 40, 0, 0, 0, 0
32410 ms, 1, 430, 186, 16, 64, 40, 0, 0, 0, 0
32471 ms, 1, 200, 167, 53, 39, 53, 39, 53, 128, 0
32532 ms, 1, 200, 167, 53, 39, 53, 39, 53, 128, 0
32592 ms, 1, 200, 167, 52, 39, 52, 39, 52, 128, 0
32654 ms, 1, 240, 189, 0, 39, 52, 39, 52, 128, 0
32714 ms, 1, 240, 192, 0, 39, 52, 39, 52, 128, 0
32776 ms, 1, 240, 195, 0, 39, 52, 39, 52, 128, 0
32841 ms, 1, 433, 128, 6, 8, 1, 0, 172, 80, 0
32902 ms, 1, 200, 167, 58, 39, 58, 39, 58, 128, 0
33005 ms, 1, 240, 92, 0, 0, 0, 0, 0, 0, 0
33118 ms, 1, 200, 167, 60, 39, 60, 39, 60, 128, 0
33225 ms, 1, 240, 102, 0, 0, 0, 0, 0, 0, 0
33332 ms, 1, 200, 167, 62, 39, 62, 39, 62, 128, 0
33439 ms, 1, 240, 106, 0, 39, 62, 39, 62, 128, 0
33515 ms, 1, 240, 107, 0, 0, 0, 0, 0, 0, 0
33582 ms, 1, 200, 167, 63, 39, 63, 39, 63, 128, 0
33642 ms, 1, 201, 2, 228, 63, 236, 0, 0, 0, 0
33702 ms, 1, 240, 104, 0, 63, 236, 0, 0, 0, 0
33763 ms, 1, 240, 108, 0, 63, 236, 0, 0, 0, 0
33824 ms, 1, 240, 108, 0, 63, 236, 0, 0, 0, 0
33891 ms, 1, 240, 109, 0, 63, 236, 0, 0, 0, 0
33951 ms, 1, 201, 2, 228, 64, 0, 0, 0, 0, 0
34012 ms, 1, 240, 105, 0, 64, 0, 0, 0, 0, 0
34072 ms, 1, 240, 110, 0, 64, 0, 0, 0, 0, 0
34134 ms, 1, 240, 106, 0, 64, 0, 0, 0, 0, 0
34194 ms, 1, 240, 106, 0, 64, 0, 0, 0, 0, 0
35255 ms, -1, 240, 109, 0, 64, 0, 0, 0, 0, 0
35315 ms, -1, 200, 167, 61, 39, 61, 39, 61, 128, 0
35376 ms, -1, 200, 167, 61, 39, 61, 39, 61, 128, 0
35437 ms, -1, 200, 167, 60, 39, 60, 39, 60, 128, 0
35497 ms, -1, 200, 167, 59, 39, 59, 39, 59, 128, 0
35565 ms, -1, 200, 167, 57, 39, 57, 39, 57, 128, 0
35625 ms, -1, 200, 167, 53, 39, 53, 39, 53, 128, 0
35687 ms, -1, 200, 167, 50, 39, 50, 39, 50, 128, 0
35747 ms, -1, 200, 167, 49, 39, 49, 39, 49, 128, 0
35809 ms, -1, 200, 167, 47, 39, 47, 39, 47, 128, 0
35881 ms, -1, 200, 167, 46, 39, 46, 39, 46, 128, 0
35943 ms, -1, 240, 9, 0, 39, 46, 39, 46, 128, 0
36003 ms, -1, 228, 0, 4, 0, 0, 39, 46, 128, 0
36064 ms, -1, 240, 9, 0, 0, 0, 39, 46, 128, 0
36125 ms, -1, 200, 167, 47, 39, 47, 39, 47, 128, 0
36192 ms, -1, 200, 167, 47, 39, 47, 39, 47, 128, 0
36253 ms, -1, 228, 0, 4, 0, 0, 39, 47, 128, 0
36314 ms, -1, 240, 10, 0, 0, 0, 39, 47, 128, 0
36374 ms, -1, 240, 8, 0, 0, 0, 39, 47, 128, 0
36434 ms, -1, 200, 167, 46, 39, 46, 39, 46, 128, 0
36496 ms, -1, 200, 167, 45, 39, 45, 39, 45, 128, 0
36556 ms, -1, 200, 167, 45, 39, 45, 39, 45, 128, 0
36618 ms, -1, 200, 167, 43, 39, 43, 39, 43, 128, 0
36678 ms, -1, 200, 167, 45, 39, 45, 39, 45, 128, 0
36740 ms, -1, 201, 2, 254, 64, 20, 0, 0, 0, 0
36808 ms, -1, 200, 167, 42, 39, 42, 39, 42, 128, 0
36870 ms, -1, 201, 2, 255, 64, 0, 0, 0, 0, 0
36930 ms, -1, 240, 9, 0, 64, 0, 0, 0, 0, 0
36990 ms, -1, 240, 8, 0, 64, 0, 0, 0, 0, 0
37051 ms, -1, 228, 0, 4, 0, 0, 0, 0, 0, 0
37111 ms, -1, 240, 9, 0, 0, 0, 0, 0, 0, 0
37172 ms, -1, 240, 9, 0, 0, 0, 0, 0, 0, 0
37233 ms, -1, 240, 9, 0, 0, 0, 0, 0, 0, 0
37294 ms, -1, 240, 9, 0, 0, 0, 0, 0, 0, 0
37354 ms, -1, 240, 10, 0, 0, 0, 0, 0, 0, 0
37427 ms, -1, 200, 167, 44, 39, 44, 39, 44, 128, 0
37488 ms, -1, 200, 167, 42, 39, 42, 39, 42, 128, 0
37555 ms, -1, 201, 2, 254, 64, 0, 0, 0, 0, 0
37616 ms, -1, 200, 167, 41, 39, 41, 39, 41, 128, 0
37677 ms, -1, 200, 167, 41, 39, 41, 39, 41, 128, 0
37738 ms, -1, 200, 167, 40, 39, 40, 39, 40, 128, 0
37798 ms, -1, 200, 167, 41, 39, 41, 39, 41, 128, 0
37864 ms, -1, 240, 9, 0, 0, 0, 0, 0, 0, 0
37924 ms, -1, 200, 167, 43, 39, 43, 39, 43, 128, 0
37985 ms, -1, 200, 167, 42, 39, 42, 39, 42, 128, 0
38046 ms, -1, 200, 167, 42, 39, 42, 39, 42, 128, 0
