Time, state, AID, D0,D1,D2,D3,D4,D5,D6,D7
48232 ms, -1, 190, 0, 0, 0, 0, 0, 0, 0, 0
48287 ms, -1, 240, 12, 0, 0, 0, 0, 0, 0, 0
48343 ms, -1, 201, 3, 219, 64, 0, 0, 0, 0, 0
48397 ms, -1, 240, 11, 0, 64, 0, 0, 0, 0, 0
48452 ms, -1, 201, 3, 218, 64, 0, 0, 0, 0, 0
48507 ms, -1, 240, 13, 0, 64, 0, 0, 0, 0, 0
48563 ms, -1, 231, 1, 75, 1, 0, 0, 0, 128, 0
48618 ms, -1, 240, 12, 0, 1, 0, 0, 0, 128, 0
48673 ms, -1, 231, 1, 75, 1, 0, 0, 0, 128, 0
48728 ms, -1, 240, 13, 0, 1, 0, 0, 0, 128, 0
48783 ms, -1, 190, 0, 0, 0, 0, 0, 0, 0, 0
48844 ms, -1, 200, 167, 41, 39, 41, 39, 41, 128, 0
48914 ms, -1, 200, 167, 41, 39, 41, 39, 41, 128, 0
48969 ms, -1, 200, 167, 42, 39, 42, 39, 42, 128, 0
50025 ms, 1, 190, 0, 0, 0, 0, 0, 0, 0, 0
50080 ms, 1, 200, 167, 41, 39, 41, 39, 41, 128, 0
50136 ms, 1, 240, 12, 0, 39, 41, 39, 41, 128, 0
50191 ms, 1, 200, 167, 43, 39, 43, 39, 43, 128, 0
50246 ms, 1, 228, 0, 4, 0, 0, 39, 43, 128, 0
50301 ms, 1, 201, 3, 206, 64, 0, 0, 0, 0, 0
50356 ms, 1, 430, 27, 149, 64, 0, 0, 0, 0, 0
50411 ms, 1, 231, 1, 75, 1, 0, 0, 0, 128, 0
50472 ms, 1, 190, 0, 0, 64, 0, 0, 0, 0, 0
50528 ms, 1, 200, 167, 41, 39, 41, 39, 41, 128, 0
50583 ms, 1, 190, 0, 0, 64, 0, 0, 0, 0, 0
50638 ms, 1, 200, 167, 43, 39, 43, 39, 43, 128, 0
50694 ms, 1, 228, 0, 4, 0, 0, 39, 43, 128, 0
50749 ms, 1, 200, 167, 44, 39, 44, 39, 44, 128, 0
50804 ms, 1, 190, 0, 0, 64, 0, 0, 0, 0, 0
50859 ms, 1, 200, 167, 42, 39, 42, 39, 42, 128, 0
50914 ms, 1, 240, 12, 0, 39, 42, 39, 42, 128, 0
50969 ms, 1, 200, 167, 41, 39, 41, 39, 41, 128, 0
51049 ms, 1, 190, 0, 0, 64, 0, 0, 0, 0, 0
51104 ms, 1, 190, 0, 0, 64, 0, 0, 0, 0, 0
51159 ms, 1, 200, 167, 41, 39, 41, 39, 41, 128, 0
51214 ms, 1, 240, 12, 0, 39, 41, 39, 41, 128, 0
51269 ms, 1, 200, 167, 41, 39, 41, 39, 41, 128, 0
51341 ms, 1, 190, 0, 0, 64, 0, 0, 0, 0, 0
51396 ms, 1, 240, 12, 0, 64, 0, 0, 0, 0, 0
51451 ms, 1, 430, 27, 150, 64, 0, 0, 0, 0, 0
51507 ms, 1, 190, 0, 0, 64, 0, 0, 0, 0, 0
51562 ms, 1, 190, 0, 0, 64, 0, 0, 0, 0, 0
51616 ms, 1, 240, 12, 0, 64, 0, 0, 0, 0, 0
51672 ms, 1, 240, 12, 0, 64, 0, 0, 0, 0, 0
51733 ms, 1, 190, 0, 0, 64, 0, 0, 0, 0, 0
51788 ms, 1, 200, 167, 41, 39, 41, 39, 41, 128, 0
51844 ms, 1, 228, 0, 4, 0, 0, 39, 41, 128, 0
51899 ms, 1, 200, 167, 42, 39, 42, 39, 42, 128, 0
51954 ms, 1, 430, 27, 150, 39, 42, 39, 42, 128, 0
52009 ms, 1, 200, 167, 42, 39, 42, 39, 42, 128, 0
52065 ms, 1, 190, 0, 0, 64, 0, 0, 0, 0, 0
52120 ms, 1, 200, 167, 43, 39, 43, 39, 43, 128, 0
52175 ms, 1, 240, 12, 0, 39, 43, 39, 43, 128, 0
52231 ms, 1, 205, 0, 0, 64, 0, 0, 0, 0, 0
52291 ms, 1, 190, 0, 0, 64, 0, 0, 0, 0, 0
52346 ms, 1, 190, 0, 0, 64, 0, 0, 0, 0, 0
52402 ms, 1, 190, 0, 0, 64, 0, 0, 0, 0, 0
52457 ms, 1, 430, 28, 149, 64, 0, 0, 0, 0, 0
52511 ms, 1, 240, 12, 0, 64, 0, 0, 0, 0, 0
52567 ms, 1, 190, 0, 0, 64, 0, 0, 0, 0, 0
52622 ms, 1, 190, 0, 0, 64, 0, 0, 0, 0, 0
52677 ms, 1, 240, 12, 0, 64, 0, 0, 0, 0, 0
52749 ms, 1, 240, 12, 0, 64, 0, 0, 0, 0, 0
52804 ms, 1, 190, 0, 0, 64, 0, 0, 0, 0, 0
52858 ms, 1, 200, 167, 44, 39, 44, 39, 44, 128, 0
52914 ms, 1, 240, 13, 0, 39, 44, 39, 44, 128, 0
