Time, RPM, AID, D0,D1,D2,D3,D4,D5,D6,D7
Time, RPM, AID, D0,D1,D2,D3,D4,D5,D6,D7
27350, 1834 rpm , 430, 186, 18, 38, 253, 38, 253, 128, 0
27425, 1834 rpm , 200, 166, 253, 38, 253, 38, 253, 128, 0
27536, 1828 rpm , 200, 166, 252, 38, 252, 38, 252, 128, 0
27676, 1815 rpm , 231, 1, 75, 1, 0, 0, 0, 128, 0
27816, 1802 rpm , 420, 139, 0, 108, 0, 0, 0, 0, 0
28284, 1813 rpm , 200, 166, 254, 38, 254, 38, 254, 128, 0
28385, 1804 rpm , 201, 7, 13, 63, 156, 0, 0, 11, 0
28485, 1800 rpm , 201, 7, 8, 64, 0, 0, 0, 11, 0
29404, 1799 rpm , 201, 7, 7, 63, 216, 0, 0, 11, 0
29585, 1794 rpm , 201, 7, 2, 63, 176, 0, 0, 12, 0
29649, 1795 rpm , 430, 186, 18, 63, 176, 0, 0, 12, 0
29805, 1826 rpm , 4F3, 57, 49, 49, 51, 49, 56, 49, 50
30004, 1952 rpm , 201, 7, 161, 67, 32, 0, 0, 15, 0
30364, 2268 rpm , 201, 8, 208, 67, 232, 0, 0, 15, 0
30664, 2591 rpm , 4EA, 0, 65, 12, 40, 82, 0, 0, 0
30838, 2756 rpm , 228, 0, 4, 0, 0, 0, 0, 0, 0
31044, 2923 rpm , 231, 1, 75, 1, 0, 0, 0, 128, 0
31112, 2987 rpm , 200, 167, 56, 39, 56, 39, 56, 128, 0
31382, 3143 rpm , 201, 12, 79, 66, 148, 0, 0, 14, 0
31882, 3342 rpm , 201, 13, 16, 65, 44, 0, 0, 12, 0
32263, 3216 rpm , 228, 0, 4, 0, 0, 105, 0, 0, 0
32632, 2915 rpm , 201, 11, 109, 61, 148, 0, 0, 7, 0
33062, 2681 rpm , 4EA, 0, 65, 12, 41, 251, 0, 0, 0
33126, 2684 rpm , 228, 0, 4, 0, 0, 251, 0, 0, 0
33502, 2717 rpm , 231, 1, 75, 1, 0, 0, 0, 128, 0
33570, 2729 rpm , 200, 167, 11, 39, 11, 39, 11, 128, 0
